P_el_Halle;P_el_Schule;P_el_KiGa;W_Halle;W_Schule;W_KiGa;G_Halle;G_Schule;Gas_KiGa
3,9;8,5;2,14;36,2;26;6;43,8;27,8;6,4
0,8;8,7;1,13;36,1;28;9;43,8;32,5;9,6
1,4;6,3;0,41;13,1;20;7;17,3;21,2;7,4
0,7;3,2;0,35;3,1;17;8;5,7;18,4;8,5
0,5;3,2;0,41;1;19;7;1,1;20,0;7,4
0,8;3,1;0,32;5,7;21;8;6,4;22,8;8,5
0,9;3,1;1,34;36;17;9;43,7;17,8;9,6
0,9;3,3;0,46;36;20;10;43,6;21,6;10,6
1,9;3,3;0,4;13,8;22;9;20,8;28,7;9,6
10,2;3,5;0,35;30,3;17;18;37,7;23,9;19,1
15,1;3,9;0,87;36,2;21;26;43,9;28,3;27,7
5,1;10,4;2,48;34,6;30;19;42,3;37,3;20,2
9,8;16,1;1,21;33,3;31;32;40,7;38,4;34,0
7,9;17,9;2,65;36,1;34;19;43,8;41,1;20,2
1,8;19,4;3,96;36,3;39;21;44,0;46,7;22,3
1,9;17,2;7,82;35,8;38;19;43,3;45,9;20,2
2,1;19,3;4,71;37,1;35;19;44,9;43,1;20,2
5,6;17,3;3,98;36,2;36;15;43,9;38,5;16,0
10,9;15,8;3,75;35;36;14;42,6;38,1;14,9
10,8;17,5;2,28;36,1;33;13;43,7;34,4;13,8
1,6;11,9;4,19;22,1;28;13;29,4;29,3;13,8
5,6;8,5;3,65;36;27;11;43,6;29,2;11,7
13,4;7,7;2,46;34,9;12;9;42,5;12,3;9,6
13,3;7,7;1,13;36,1;9;1;43,7;9,4;1,1
9,3;9,2;0,56;36,1;11;5;43,8;11,0;5,3
4,1;8,9;0,57;19,9;10;9;26,9;10,7;9,6
1,3;6,6;0,56;9,3;24;8;11,2;25,8;8,5
0,7;3,4;0,48;3;16;7;5,7;17,4;7,4
0,5;3;1,03;1;17;7;1,1;18,8;7,4
0,6;3;0,51;5,7;24;8;6,4;25,7;8,5
0,9;3,2;0,66;35,2;16;8;42,7;17,1;8,5
1;3,2;0,56;36;18;8;43,7;22,0;8,5
1;3,3;0,51;35,9;24;9;43,5;31,8;9,6
8,7;3,4;0,61;37;16;19;44,6;23,2;20,2
14,3;3,7;0,65;36;18;30;43,7;25,5;31,9
4,1;7,8;0,82;44,9;29;21;52,8;36,7;22,3
12,8;18,5;1,53;37,3;34;21;45,1;41,3;22,3
14;16,9;2,59;36;33;24;43,6;41,1;25,5
13,7;16,1;2,91;36;33;20;43,7;41,0;21,3
13,3;14,6;3,25;36,1;34;13;43,8;42,1;13,8
13,7;15,7;4,1;35,5;31;17;43,0;38,5;18,1
6,9;12,1;3,95;36,5;30;14;44,2;32,7;14,9
1;11,1;3,2;34,9;30;16;42,3;32,3;17,0
1,3;12,8;3,14;34,9;27;14;42,3;28,4;14,9
4,4;9,1;2,81;18,9;27;13;23,5;28,6;13,8
10,2;6,3;1,88;2;9;12;2,2;9,4;12,8
