P_el_Halle;P_el_Schule;W_Halle;W_Schule
0,6;2,5;26,5;15
0,6;2,4;25,7;21
0,6;2,5;25,5;9
0,6;2,8;26,7;16
0,8;4,2;25,5;16
1,0;4,8;26,7;20
1,0;4,8;25,5;18
1,0;5,0;25,4;18
1,0;4,9;25,4;23
0,6;3,3;6,3;16
0,5;3,2;0,5;16
0,5;3,3;0,1;16
0,5;3,3;0,0;16
0,5;3,2;0,0;16
0,7;3,4;0,0;14
0,7;3,4;0,0;16
0,7;4,1;0,0;17
1,1;5,3;22,6;20
1,1;5,2;26,0;21
1,1;4,3;25,4;23
1,0;3,4;26,1;16
11,7;3,2;26,2;16
13,9;3,3;26,1;17
13,8;3,4;26,1;18
5,2;3,3;26,1;21
1,3;3,4;26,1;16
1,4;3,3;26,0;16
1,4;3,3;26,1;17
1,5;4,8;26,0;20
1,6;5,0;26,1;23
1,5;4,9;26,1;18
1,4;5,0;26,0;18
1,4;5,0;25,0;18
0,8;3,5;24,9;17
0,9;3,5;24,9;18
0,8;3,3;23,7;21
0,9;3,4;22,6;16
0,9;3,5;19,9;16
6,3;3,4;26,0;17
12,4;3,5;26,0;18
14,1;4,5;26,1;22
4,5;12,2;26,0;26
1,2;31,1;26,1;48
1,2;25,9;45,6;43
2,4;22,4;56,9;40
1,8;18,9;33,3;39
0,8;20,5;22,9;35
0,7;17,3;22,9;33
7,5;14,3;22,8;31
12,6;17,0;78,8;37
13,9;10,7;21,9;24
14,3;7,8;21,8;21
14,6;9,2;33,3;23
15,0;8,9;34,3;24
14,9;9,6;21,8;28
15,0;7,7;21,9;20
8,6;6,1;33,2;20
1,7;3,3;22,0;17
0,9;3,1;21,8;18
0,8;3,1;22,0;21
0,8;3,2;18,8;16
0,9;3,2;22,0;19
1,5;3,3;21,8;21
5,4;3,2;22,8;16
14,9;4,3;34,2;18
4,6;10,4;102,3;26
11,7;21,4;44,5;42
9,0;17,7;90,9;32
1,3;18,9;67,4;34
1,3;16,3;22,9;32
1,3;17,1;21,9;34
1,1;12,5;21,8;31
0,9;10,4;22,9;24
0,9;10,9;19,4;25
0,9;10,4;1,9;26
4,5;9,6;56,8;28
9,8;9,7;45,5;23
1,0;10,1;0,0;23
1,1;9,0;57,9;23
1,0;7,9;68,3;23
1,8;6,2;0,0;18
1,6;3,4;34,1;8
0,8;3,2;1,0;18
0,8;3,2;0,0;21
0,8;3,3;0,0;16
5,1;3,3;0,4;13
6,3;3,4;110,9;9
12,0;3,3;48,9;15
15,6;4,2;35,1;21
8,5;11,3;63,3;30
8,4;28,9;55,8;48
10,2;23,0;68,4;47
1,3;24,2;45,8;41
2,3;18,7;34,3;43
2,5;19,2;22,9;34
1,9;16,9;22,0;33
0,6;11,5;22,9;33
0,5;8,9;21,9;22
0,6;7,9;22,9;22
6,4;8,9;22,9;30
14,4;10,1;45,5;24
14,3;9,8;65,2;32
14,5;9,9;44,5;23
14,6;9,0;33,0;24
12,4;7,3;21,9;28
1,9;3,1;78,7;15
0,9;3,2;33,0;17
0,8;3,1;11,1;24
0,9;3,2;9,1;16
1,0;3,3;23,9;16
1,7;3,2;22,8;16
2,9;3,2;22,7;17
12,0;4,4;32,9;20
10,2;10,6;113,6;29
1,3;31,3;44,9;49
1,4;28,3;56,7;45
12,7;30,0;68,2;48
13,7;25,6;34,0;44
14,1;31,6;33,0;54
7,9;23,3;34,2;39
1,6;17,3;22,8;34
12,7;19,4;34,2;43
9,2;10,5;34,2;24
12,2;7,2;22,8;25
14,3;10,5;78,7;29
14,7;10,1;21,9;24
14,8;9,3;21,9;32
14,2;9,4;21,8;23
1,7;7,7;44,5;22
1,4;3,2;12,3;21
0,5;3,1;1,7;7
0,7;3,1;8,5;4
0,8;3,1;21,4;12
0,9;3,1;21,7;15
1,1;3,4;25,5;17
6,5;3,3;36,5;18
16,0;4,3;37,5;22
10,1;11,0;45,4;24
15,0;28,0;39,3;46
13,9;23,6;21,7;42
13,9;19,5;21,3;40
13,5;17,4;37,5;32
12,8;20,5;37,1;36
8,2;15,8;37,8;31
9,3;10,5;18,5;26
11,7;10,1;36,0;29
6,6;8,1;33,0;21
8,0;5,5;36,5;19
7,5;7,8;21,7;22
14,0;8,7;36,6;24
14,8;9,1;36,5;27
13,8;7,7;21,6;21
4,8;5,3;36,6;19
1,5;3,2;6,8;17
0,5;3,1;1,0;18
0,7;3,1;5,0;21
0,5;2,9;29,9;16
0,3;2,5;0,0;11
0,6;2,4;5,2;4
0,8;2,4;36,9;3
0,8;3,3;37,7;5
0,9;4,7;38,7;6
0,8;4,6;33,8;19
0,7;3,5;22,4;17
0,7;2,6;32,7;21
0,6;3,0;10,5;7
0,6;2,9;22,8;4
0,5;2,8;0,0;4
0,5;2,7;11,4;4
0,5;2,6;0,0;4
0,5;2,6;11,4;4
0,5;2,5;11,4;3
0,7;4,0;34,1;5
0,8;4,4;11,4;6
0,8;4,2;22,8;6
0,7;4,2;11,4;6
0,5;4,1;0,0;6
0,4;2,8;0,0;16
0,4;3,2;0,0;21
0,4;2,7;0,0;15
0,4;2,4;0,0;16
0,4;2,3;0,0;4
0,6;2,3;0,0;3
0,6;2,4;0,0;3
0,6;3,2;0,0;4
0,6;4,4;0,0;6
0,5;3,6;0,0;5
0,4;2,6;0,0;4
0,4;2,6;0,0;4
0,4;2,7;0,0;4
0,4;2,6;0,0;4
0,4;2,8;0,0;4
6,4;2,6;0,0;4
13,9;2,3;0,0;3
13,7;2,4;0,0;3
13,9;2,5;0,0;3
14,6;4,4;58,9;9
14,0;5,0;12,4;18
9,7;4,8;11,4;20
0,7;4,8;0,0;23
0,7;4,8;0,0;18
0,6;3,2;0,0;16
0,6;3,3;0,0;17
0,7;3,3;0,0;18
0,8;3,3;0,0;21
0,8;3,2;0,0;15
6,4;3,1;12,4;17
15,1;3,3;34,1;24
